"","HISTO.CASETTE.NO","sex","cat","pco2_h_l","treatment","tank_id","temp_deg_c"
"233","18H19","F",4,"h","static",15,"18"
"234","18H21","F",4,"h","static",17,"18"
"235","18H22","F",4,"h","static",15,"18"
"236","18H23","M",4,"h","static",17,"18"
"237","18H24","M",4,"h","static",17,"18"
"238","18H25","F",3,"h","static",17,"18"
"239","18H26","M",2,"h","static",15,"18"
"240","18H27","M",2,"h","static",17,"18"
"241","18H28","F",2,"h","static",17,"18"
"242","18H29","M",4,"h","static",15,"18"
"243","18L01","M",4,"l","static",27,"18"
"244","18L02","M",4,"l","static",18,"18"
"245","18L03","M",4,"l","static",18,"18"
"246","18L04","M",4,"l","static",27,"18"
"247","18L05","M",4,"l","static",18,"18"
"248","18L06","F",3,"l","static",18,"18"
"249","18L07","M",4,"l","static",27,"18"
"250","18L08","F",4,"l","static",18,"18"
"251","18L09","M",3,"l","static",27,"18"
"252","18L10","M",4,"l","static",18,"18"
"253","18L11","M",4,"l","static",27,"18"
"254","18L12","M",3,"l","static",27,"18"
"255","18L13","F",2,"l","static",18,"18"
"256","18L14","F",3,"l","static",27,"18"
"257","18L15","M",4,"l","static",27,"18"
"258","18L16","F",4,"l","static",18,"18"
"259","18L17","F",4,"l","static",27,"18"
"260","18L18","F",4,"l","static",27,"18"
"261","18L19","F",4,"l","static",27,"18"
"262","18L20","F",4,"l","static",27,"18"
"263","18L21","F",4,"l","static",27,"18"
"264","18L22","F",4,"l","static",18,"18"
"265","18L23","M",4,"l","static",18,"18"
"266","18L24","F",4,"l","static",27,"18"
"267","18L25","F",4,"l","static",18,"18"
"268","18L26","F",1,"l","static",27,"18"
"269","18L27","F",4,"l","static",18,"18"
"270","18L28","M",4,"l","static",18,"18"
"271","19","M",4,"l","El Nino",19,"21-18"
"272","2","F",1,"l","El Nino",19,"21-18"
"273","20","F",4,"l","La Nina",5,"18-14"
"274","20H01","F",4,"h","static",6,"20"
"275","20H02","M",2,"h","static",6,"20"
"276","20H03","M",2,"h","static",6,"20"
"277","20H04","F",2,"h","static",6,"20"
"278","20H05","F",2,"h","static",6,"20"
"279","20H06","F",1,"h","static",6,"20"
"280","20H07","M",1,"h","static",6,"20"
"281","20H08","F",4,"h","static",6,"20"
"282","20H09","F",4,"h","static",6,"20"
"283","20H10","M",2,"h","static",6,"20"
"284","20H11","F",3,"h","static",6,"20"
"285","20H12","F",3,"h","static",6,"20"
"286","20H13","M",4,"h","static",6,"20"
"287","20H14","M",2,"h","static",6,"20"
"288","20H15","F",2,"h","static",6,"20"
"289","20H16","M",2,"h","static",31,"20"
"290","20H17","M",4,"h","static",31,"20"
"291","20H18","F",1,"h","static",31,"20"
"292","20H19","M",4,"h","static",31,"20"
"293","20H20","F",1,"h","static",31,"20"
"294","20H21","F",1,"h","static",31,"20"
"295","20H22","F",4,"h","static",31,"20"
"296","20H23","M",4,"h","static",31,"20"
"297","20H24","F",4,"h","static",31,"20"
"298","20H25","F",4,"h","static",31,"20"
"299","20H26","F",1,"h","static",31,"20"
"300","20H27","M",3,"h","static",31,"20"
